unit_id,town,county,buildable_area_sq_km,excluded_area_sq_km,climate_safe_suitability_score,suitability_tier,housing_need_score,social_vulnerability_score,infrastructure_access_score,flood_exposure_score,environmental_constraint_score,review_notes
grid5km_2300560545_2478,Portland,Cumberland,12.3843823780530000,0E-24,81.20,strong candidate for parcel screening,67.34,43.12,84.36,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300560545_2372,Portland,Cumberland,17.0561456113431000,0E-24,81.20,strong candidate for parcel screening,67.34,43.12,84.36,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300560545_2587,Portland,Cumberland,7.3170267299390000,0E-24,81.20,strong candidate for parcel screening,67.34,43.12,84.36,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300560545_2481,Portland,Cumberland,1.1699359033259600,0E-24,81.20,strong candidate for parcel screening,67.34,43.12,84.36,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300560545_2479,Portland,Cumberland,2.6444994443683900,0E-24,81.20,strong candidate for parcel screening,67.34,43.12,84.36,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300560545_2693,Portland,Cumberland,0.79006038367869700000,0E-24,81.20,strong candidate for parcel screening,67.34,43.12,84.36,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300560545_2480,Portland,Cumberland,19.0191726652713000,0E-24,81.20,strong candidate for parcel screening,67.34,43.12,84.36,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300560545_2586,Portland,Cumberland,12.6384198114127000,0E-24,81.20,strong candidate for parcel screening,67.34,43.12,84.36,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300560545_2053,Portland,Cumberland,1.9305395131863900,0E-24,81.20,strong candidate for parcel screening,67.34,43.12,84.36,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300560545_2371,Portland,Cumberland,3.8952613411463200,0E-24,81.20,strong candidate for parcel screening,67.34,43.12,84.36,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300560545_2373,Portland,Cumberland,6.2284645358687500,0E-24,81.20,strong candidate for parcel screening,67.34,43.12,84.36,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300560545_2374,Portland,Cumberland,9.3317388326361300,0E-24,78.60,strong candidate for parcel screening,67.34,43.12,86.36,16,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300138740_2168,Lewiston,Androscoggin,0.55149664884957900000,0E-24,75.32,strong candidate for parcel screening,70.39,57.61,66.55,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300138740_2061,Lewiston,Androscoggin,24.8773446306291000,0E-24,74.96,strong candidate for parcel screening,70.39,57.61,68.55,4.78288752290809,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300138740_1955,Lewiston,Androscoggin,14.7914982570246000,0E-24,74.16,strong candidate for parcel screening,70.39,57.61,68.55,8.78104792501357,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300330690_3741,Hamlin,Aroostook,6.3118220246239100,0E-24,73.94,strong candidate for parcel screening,70.5,64.0,63.96,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300138740_2167,Lewiston,Androscoggin,1.1423326951348100,0E-24,73.40,strong candidate for parcel screening,70.39,57.61,62.55,3.6202090505258,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300138740_2060,Lewiston,Androscoggin,19.1022384404119000,0E-24,73.33,strong candidate for parcel screening,70.39,57.61,64.55,6.9736370380933,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300138740_2062,Lewiston,Androscoggin,15.9952735960495000,0E-24,73.29,strong candidate for parcel screening,70.39,57.61,66.55,10.1394708851212,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301902795_3796,Bangor,Penobscot,9.9440426701309500,0E-24,72.97,strong candidate for parcel screening,66.36,55.07,61.89,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301902795_3903,Bangor,Penobscot,8.7240079588023600,0E-24,72.97,strong candidate for parcel screening,66.36,55.07,61.89,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301902795_3689,Bangor,Penobscot,0.49008385929654700000,0E-24,72.97,strong candidate for parcel screening,66.36,55.07,61.89,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301902795_3795,Bangor,Penobscot,25.0000000000000000,0E-24,72.97,strong candidate for parcel screening,66.36,55.07,61.89,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301902795_3688,Bangor,Penobscot,7.4015780547761900,0E-24,72.97,strong candidate for parcel screening,66.36,55.07,61.89,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300571990_2050,South Portland,Cumberland,4.0220511388422900,0E-24,72.93,strong candidate for parcel screening,56.97,36.6,65.01,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300571990_2157,South Portland,Cumberland,5.7825189615649200,0E-24,72.93,strong candidate for parcel screening,56.97,36.6,65.01,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300571990_1944,South Portland,Cumberland,0.34731675464252600000,0E-24,72.93,strong candidate for parcel screening,56.97,36.6,65.01,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301955565_3903,Orono,Penobscot,12.1834761926055000,0E-24,72.91,strong candidate for parcel screening,72.05,49.86,54.28,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301955565_3797,Orono,Penobscot,2.5424123087219700,0E-24,72.91,strong candidate for parcel screening,72.05,49.86,54.28,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301955565_3796,Orono,Penobscot,9.6476456438246500,0E-24,72.91,strong candidate for parcel screening,72.05,49.86,54.28,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300355435_4675,Orient,Aroostook,6.4200683145146000,0E-24,72.88,strong candidate for parcel screening,70.09,68.99,62.5,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300355435_4676,Orient,Aroostook,25.0000000000000000,0E-24,72.88,strong candidate for parcel screening,70.09,68.99,62.5,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300724005_800,Eustis,Franklin,16.3160248953408000,0E-24,72.69,strong candidate for parcel screening,88.35,71.86,44.57,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300724005_1013,Eustis,Franklin,1.3984726180967400,0E-24,72.69,strong candidate for parcel screening,88.35,71.86,44.57,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300724005_905,Eustis,Franklin,7.3648906770209100,0E-24,72.69,strong candidate for parcel screening,88.35,71.86,44.57,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300724005_907,Eustis,Franklin,12.2984946267270000,0E-24,72.69,strong candidate for parcel screening,88.35,71.86,44.57,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300724005_692,Eustis,Franklin,4.9625281454700500,0E-24,72.69,strong candidate for parcel screening,88.35,71.86,44.57,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300724005_799,Eustis,Franklin,24.9450656857760000,0E-24,72.69,strong candidate for parcel screening,88.35,71.86,44.57,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300724005_693,Eustis,Franklin,3.5983095205157700,0E-24,72.69,strong candidate for parcel screening,88.35,71.86,44.57,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300724005_798,Eustis,Franklin,13.0217970809452000,0E-24,72.69,strong candidate for parcel screening,88.35,71.86,44.57,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300724005_906,Eustis,Franklin,23.3588698674447000,0E-24,72.69,strong candidate for parcel screening,88.35,71.86,44.57,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301180740_2607,Waterville,Kennebec,4.6516712131334400,0E-24,72.68,strong candidate for parcel screening,68.0,57.31,60.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301180740_2500,Waterville,Kennebec,4.4205394990287400,0E-24,72.68,strong candidate for parcel screening,68.0,57.31,60.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300330690_3634,Hamlin,Aroostook,1.5988350809401300,0E-24,72.44,strong candidate for parcel screening,70.5,64.0,58.96,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301180740_2502,Waterville,Kennebec,0.30961243398071300000,0E-24,72.08,strong candidate for parcel screening,68.0,57.31,58.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300355435_4677,Orient,Aroostook,19.8972400764362000,0E-24,71.98,strong candidate for parcel screening,70.09,68.99,59.5,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300566145_2263,Scarborough,Cumberland,6.2487601151822700,0E-24,71.86,strong candidate for parcel screening,50.58,28.85,65.24,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300566145_2050,Scarborough,Cumberland,20.9779488611577000,0E-24,71.86,strong candidate for parcel screening,50.58,28.85,65.24,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300566145_2262,Scarborough,Cumberland,19.8170272265603000,0E-24,71.86,strong candidate for parcel screening,50.58,28.85,65.24,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300566145_1942,Scarborough,Cumberland,18.0883791569864000,0E-24,71.86,strong candidate for parcel screening,50.58,28.85,65.24,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300566145_1944,Scarborough,Cumberland,2.3249175421081600,0E-24,71.86,strong candidate for parcel screening,50.58,28.85,65.24,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300566145_1835,Scarborough,Cumberland,7.4320982539234100,0E-24,71.86,strong candidate for parcel screening,50.58,28.85,65.24,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300566145_1943,Scarborough,Cumberland,21.9184025026706000,0E-24,71.86,strong candidate for parcel screening,50.58,28.85,65.24,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300566145_2157,Scarborough,Cumberland,10.9374585611109000,0E-24,71.86,strong candidate for parcel screening,50.58,28.85,65.24,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300566145_2369,Scarborough,Cumberland,9.2220466618090200,0E-24,71.86,strong candidate for parcel screening,50.58,28.85,65.24,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300566145_1836,Scarborough,Cumberland,5.6642171478250100,0E-24,71.86,strong candidate for parcel screening,50.58,28.85,65.24,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300383785_4674,Weston,Aroostook,22.9966269024854000,0E-24,71.70,strong candidate for parcel screening,67.66,55.75,56.58,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300383785_4675,Weston,Aroostook,18.5799316854854000,0E-24,71.70,strong candidate for parcel screening,67.66,55.75,56.58,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300383785_4781,Weston,Aroostook,22.8372019582949000,0E-24,71.70,strong candidate for parcel screening,67.66,55.75,56.58,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300383785_4780,Weston,Aroostook,8.7111397603097700,0E-24,71.70,strong candidate for parcel screening,67.66,55.75,56.58,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301180740_2501,Waterville,Kennebec,1.6007720896056300,0E-24,71.48,strong candidate for parcel screening,68.0,57.31,56.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300367790_3820,Sherman,Aroostook,25.0000000000000000,0E-24,71.44,strong candidate for parcel screening,67.15,54.77,55.89,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300367790_3926,Sherman,Aroostook,11.7518005311926000,0E-24,71.44,strong candidate for parcel screening,67.15,54.77,55.89,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300367790_3819,Sherman,Aroostook,23.2766100072985000,0E-24,71.44,strong candidate for parcel screening,67.15,54.77,55.89,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301955565_3904,Orono,Penobscot,12.5873100422802000,0E-24,71.31,strong candidate for parcel screening,72.05,49.86,54.28,8,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300367790_3927,Sherman,Aroostook,8.9416937799194400,0E-24,71.14,strong candidate for parcel screening,67.15,54.77,54.89,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300911265_3999,Castine,Hancock,5.3466562039846300,0E-24,71.08,strong candidate for parcel screening,69.84,40.71,47.32,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300911265_4001,Castine,Hancock,2.9705992708553500,0E-24,71.08,strong candidate for parcel screening,69.84,40.71,47.32,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300911265_4000,Castine,Hancock,13.0319821282237000,0E-24,71.08,strong candidate for parcel screening,69.84,40.71,47.32,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300911265_4108,Castine,Hancock,4.1531793591288900,0E-24,71.08,strong candidate for parcel screening,69.84,40.71,47.32,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300342520_3102,Madawaska,Aroostook,10.5404654353575000,0E-24,70.93,strong candidate for parcel screening,70.86,59.4,52.05,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300102060_1849,Auburn,Androscoggin,8.1074423739284000,0E-24,70.85,strong candidate for parcel screening,63.01,48.69,56.63,0.847397193590885,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301363590_3671,Rockland,Knox,9.4114150757111100,0E-24,70.82,strong candidate for parcel screening,59.93,47.11,58.49,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301955225_3799,Old Town,Penobscot,3.2497569694980300,0E-24,70.76,strong candidate for parcel screening,67.21,52.23,52.72,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301955225_3797,Old Town,Penobscot,20.8017623588257000,0E-24,70.76,strong candidate for parcel screening,67.21,52.23,52.72,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301955225_4013,Old Town,Penobscot,0.85460227216892800000,0E-24,70.76,strong candidate for parcel screening,67.21,52.23,52.72,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301955225_3905,Old Town,Penobscot,19.7948768564420000,0E-24,70.76,strong candidate for parcel screening,67.21,52.23,52.72,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301955225_3691,Old Town,Penobscot,7.5846094846180800,0E-24,70.76,strong candidate for parcel screening,67.21,52.23,52.72,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301955225_3798,Old Town,Penobscot,24.4724079689937000,0E-24,70.76,strong candidate for parcel screening,67.21,52.23,52.72,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301955225_3690,Old Town,Penobscot,1.5370238549942300,0E-24,70.76,strong candidate for parcel screening,67.21,52.23,52.72,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301955225_3904,Old Town,Penobscot,12.4126899577198000,0E-24,70.76,strong candidate for parcel screening,67.21,52.23,52.72,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300102060_2059,Auburn,Androscoggin,10.7317987101887000,0E-24,70.73,strong candidate for parcel screening,63.01,48.69,56.63,1.4539062694925,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300160020_1524,Poland,Androscoggin,7.7040108414715400,0E-24,70.72,strong candidate for parcel screening,69.0,42.39,47.53,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300160020_1631,Poland,Androscoggin,25.0000000000000000,0E-24,70.69,strong candidate for parcel screening,69.0,42.39,47.53,0.170167619383975,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301351620_3887,North Haven,Knox,8.2851365611111300,0E-24,70.67,strong candidate for parcel screening,68.77,37.03,45.8,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301351620_3994,North Haven,Knox,13.8203530530060000,0E-24,70.67,strong candidate for parcel screening,68.77,37.03,45.8,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301351620_3993,North Haven,Knox,25.0000000000000000,0E-24,70.67,strong candidate for parcel screening,68.77,37.03,45.8,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301351620_4209,North Haven,Knox,20.2391524535240000,0E-24,70.67,strong candidate for parcel screening,68.77,37.03,45.8,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301351620_3886,North Haven,Knox,17.3423905540316000,0E-24,70.67,strong candidate for parcel screening,68.77,37.03,45.8,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301351620_4315,North Haven,Knox,11.5661667733546000,0E-24,70.67,strong candidate for parcel screening,68.77,37.03,45.8,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301351620_4102,North Haven,Knox,17.3848438026939000,0E-24,70.67,strong candidate for parcel screening,68.77,37.03,45.8,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301351620_4099,North Haven,Knox,0.26468708284194200000,0E-24,70.67,strong candidate for parcel screening,68.77,37.03,45.8,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301351620_4316,North Haven,Knox,4.8376413416681200,0E-24,70.67,strong candidate for parcel screening,68.77,37.03,45.8,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301351620_3885,North Haven,Knox,7.6025034659835500,0E-24,70.67,strong candidate for parcel screening,68.77,37.03,45.8,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2301351620_3992,North Haven,Knox,4.1398499131712600,0E-24,70.67,strong candidate for parcel screening,68.77,37.03,45.8,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300905700_4324,Blue Hill,Hancock,2.7530216011698100,0E-24,70.56,strong candidate for parcel screening,71.45,43.88,45.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300905700_4215,Blue Hill,Hancock,1.1775338607887600,0E-24,70.56,strong candidate for parcel screening,71.45,43.88,45.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300905700_4643,Blue Hill,Hancock,2.4023901423816600,0E-24,70.56,strong candidate for parcel screening,71.45,43.88,45.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300905700_4214,Blue Hill,Hancock,0.48636281858783900000,0E-24,70.56,strong candidate for parcel screening,71.45,43.88,45.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300905700_4322,Blue Hill,Hancock,24.7877840809094000,0E-24,70.56,strong candidate for parcel screening,71.45,43.88,45.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300905700_4535,Blue Hill,Hancock,24.9353154946486000,0E-24,70.56,strong candidate for parcel screening,71.45,43.88,45.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300905700_4321,Blue Hill,Hancock,4.4591120000251000,0E-24,70.56,strong candidate for parcel screening,71.45,43.88,45.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300905700_4534,Blue Hill,Hancock,5.1626496724533700,0E-24,70.56,strong candidate for parcel screening,71.45,43.88,45.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300905700_4430,Blue Hill,Hancock,22.8793540304608000,0E-24,70.56,strong candidate for parcel screening,71.45,43.88,45.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300905700_4428,Blue Hill,Hancock,17.2384675734985000,0E-24,70.56,strong candidate for parcel screening,71.45,43.88,45.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300905700_4641,Blue Hill,Hancock,12.9617530924285000,0E-24,70.56,strong candidate for parcel screening,71.45,43.88,45.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300905700_4323,Blue Hill,Hancock,22.0931313232981000,0E-24,70.56,strong candidate for parcel screening,71.45,43.88,45.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
grid5km_2300905700_4537,Blue Hill,Hancock,15.5814169560798000,0E-24,70.56,strong candidate for parcel screening,71.45,43.88,45.03,0,0,High planning score; prioritize parcel-level confirmation and affordability safeguards.
