town,county,acs_year,acs_population,climate_safe_housing_mvp_score,housing_need_score,social_vulnerability_score,infrastructure_efficiency_proxy_score,resilience_investment_priority_score,mvp_priority_lane,key_drivers,pct_cost_burdened_households,pct_cost_burdened_renter_households,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,pct_under_18,pct_seasonal_housing_units,pct_long_commute_workers,pct_no_internet_or_subscription_households,hazard_overlay_status
Portland,Cumberland,2024,68854,73.04,67.34,43.12,84.36,35.78,infrastructure-efficient affordable housing search,renter cost burden; housing cost burden; zero-car households; children/family demand,41.49,51.32,11.21,15.4,16.87,12.66,15.36,5.16,6.59,0.09,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Lewiston,Androscoggin,2024,38324,66.36,70.39,57.61,62.55,42.33,infrastructure-efficient affordable housing search,renter cost burden; housing cost burden; poverty; zero-car households,40.71,51.68,20.04,17.21,18.35,19.51,20.58,0.58,11.19,0.18,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Bangor,Penobscot,2024,31938,63.32,66.36,55.07,61.89,38.19,infrastructure-efficient affordable housing search,renter cost burden; housing cost burden; poverty; disability,39.56,51.52,17.87,14.79,19.89,20.68,16.65,0.21,7.1,0.17,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Waterville,Kennebec,2024,17077,60.04,68.0,57.31,56.03,38.7,priority for FEMA/MGS/wetlands parcel overlay,renter cost burden; poverty; housing cost burden; zero-car households,38.81,50.5,20.61,17.18,18.33,18.64,14.37,0.26,5.78,0.37,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Orono,Penobscot,2024,11902,58.4,72.05,49.86,54.28,36.32,priority for FEMA/MGS/wetlands parcel overlay,renter cost burden; poverty; housing cost burden; disability,46.29,58.06,24.88,7.16,11.43,11.42,6.84,1.43,3.56,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Augusta,Kennebec,2024,19077,58.19,65.03,55.44,54.05,39.54,priority for FEMA/MGS/wetlands parcel overlay,renter cost burden; housing cost burden; poverty; disability,38.81,49.18,18.22,13.58,21.51,20.98,18.93,1.51,9.1,0.38,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Auburn,Androscoggin,2024,24602,57.53,63.01,48.69,54.63,38.88,priority for FEMA/MGS/wetlands parcel overlay,renter cost burden; housing cost burden; children/family demand; disability,42.58,53.4,13.8,10.47,19.83,20.19,21.36,0.99,13.3,0.16,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
South Portland,Cumberland,2024,26930,56.66,56.97,36.6,65.01,28.21,infrastructure-efficient affordable housing search,renter cost burden; housing cost burden; children/family demand; older adults,43.29,55.63,6.94,7.82,20.72,13.24,14.67,0.81,3.52,0.25,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Old Town,Penobscot,2024,7470,55.97,67.21,52.23,52.72,36.49,priority for FEMA/MGS/wetlands parcel overlay,renter cost burden; poverty; housing cost burden; children/family demand,41.56,50.31,21.33,10.06,16.85,16.36,21.82,1.44,4.71,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
Eustis,Franklin,2024,453,55.53,88.35,71.86,44.57,55.08,equity and recovery-capacity priority,housing cost burden; renter cost burden; seasonal housing pressure; poverty,51.25,66.02,22.96,12.37,38.63,26.71,15.45,61.53,0.0,0.0,"pending FEMA NFHL, MGS SLR/storm-surge, NWI wetlands, conservation, DEM, roads/bridges/culverts overlay"
