town,county,acs_population,future_livability_score,investor_opportunity_score,essential_needs_score,median_household_income,pct_below_poverty,pct_zero_vehicle_households,pct_65_plus,pct_with_disability,future_lane,missing_needs
Cumberland,Cumberland,8647,86.86,39.12,25.56,173894.0,3.14,2.28,19.8,7.09,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Falmouth,Cumberland,12755,81.63,44.78,31.82,150919.0,2.3,5.09,24.47,8.51,"premium age-friendly housing, health services, and high-amenity living","housing supply, climate resilience, and service-capacity monitoring"
Scarborough,Cumberland,23215,78.98,47.41,32.36,133558.0,4.39,1.67,24.73,10.8,"premium age-friendly housing, health services, and high-amenity living","housing supply, climate resilience, and service-capacity monitoring"
Cape Elizabeth,Cumberland,9606,78.23,46.16,35.9,145821.0,5.18,5.04,25.66,5.55,"premium age-friendly housing, health services, and high-amenity living","housing supply, climate resilience, and service-capacity monitoring"
North Yarmouth,Cumberland,4240,76.7,31.47,27.33,129267.0,4.83,1.36,17.12,9.29,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Gorham,Cumberland,18300,74.97,41.84,30.69,112312.0,3.71,4.11,17.49,10.99,"balanced residential growth, local retail, and commuter/workforce services","housing supply, climate resilience, and service-capacity monitoring"
Windham,Cumberland,19188,74.9,39.45,27.43,107934.0,3.44,3.47,15.9,9.7,"balanced residential growth, local retail, and commuter/workforce services","housing supply, climate resilience, and service-capacity monitoring"
Durham,Androscoggin,4262,73.74,27.42,22.26,99181.0,4.15,0.72,16.61,5.54,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Alna,Lincoln,818,73.7,21.95,20.77,93125.0,2.08,0.68,17.36,8.61,"rural resilience, regional service hubs, trades, broadband, and small-scale housing",regional shared services and connectivity to larger service hubs
Dayton,York,2313,73.4,29.03,26.15,113750.0,3.68,2.17,14.31,11.37,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
York,York,13986,73.35,48.2,38.03,121250.0,5.79,2.09,27.86,11.67,"premium age-friendly housing, health services, and high-amenity living","housing supply, climate resilience, and service-capacity monitoring"
New Gloucester,Cumberland,5766,73.07,34.11,26.27,108797.0,4.32,0.0,15.4,13.64,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Buxton,York,8512,72.04,41.09,34.19,100144.0,2.32,7.93,19.2,10.15,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
South Berwick,York,7670,71.99,35.04,27.1,99572.0,3.43,1.38,15.76,14.0,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
Swans Island,Hancock,438,71.39,22.16,26.77,86250.0,1.14,0.5,28.08,11.42,"rural resilience, regional service hubs, trades, broadband, and small-scale housing","age-friendly housing, home care, clinics, and senior transportation; regional shared services and connectivity to larger service hubs"
Belgrade,Kennebec,3351,71.35,31.74,27.9,88338.0,3.09,0.8,23.87,10.53,"selective housing, local services, outdoor economy, and community infrastructure","housing supply, climate resilience, and service-capacity monitoring"
